User Utterance,Service,API Request Type,API Request URL,API Request Payload,Test_File,Results_File
How do I get user expense configuration?,Identity Management,GET,/profile/v1/me,schema=expense,,
Show me users with travel arranger role,Identity Management,POST,/identity/v4.1/Users/.search,Body: {filter: roles contains TRAVEL_ARRANGER},,
Can I see a user's delegates?,Identity Management,GET,/api/v4/identity/delegates,userId={uuid},,
What expense categories can I use?,List Management,GET,/list/v4/lists,Filter for expense type lists,,
Show me all custom lists in the system,List Management,GET,/list/v4/lists,Returns all list definitions,,
How do I create a new custom list?,List Management,POST,/list/v4/lists,"Body: {listType, displayName, description}",,
Can I update a list name?,List Management,PATCH,/list/v4/lists/{listId},Body: {displayName: new name},,
Show me the cost center list,List Management,GET,/list/v4/lists,Filter for cost center list,,
How do I delete a list?,List Management,DELETE,/list/v4/lists/{listId},Removes list if no dependencies,,
What lists are used in expense configuration?,List Management,GET,/expenseconfig/v4/users/{userId}/groupconfigs,Custom field definitions reference lists,,
How do I export all list definitions?,List Management,GET,/list/v4/lists,Paginate through all lists,,
Show me lists modified in the last month,List Management,GET,/list/v4/lists,Filter by lastModified date,,
What items are in the project code list?,List Items,GET,/list/v4/lists/{listId}/items,Returns all list items,,
How do I add a new project code?,List Items,POST,/list/v4/lists/{listId}/items,"Body: {value, shortCode, displayName}",,
Can I deactivate an old cost center?,List Items,PATCH,/list/v4/lists/{listId}/items/{itemId},Body: {isActive: false},,
Show me active vendors in the vendor list,List Items,GET,/list/v4/lists/{listId}/items,Filter for isActive=true,,
How do I bulk import 100 list items?,List Items,POST,/list/v4/lists/{listId}/bulk,Body: Array of list items,,
Can I update a list item's hierarchy?,List Items,PATCH,/list/v4/lists/{listId}/items/{itemId},Body: {parentId: new parent UUID},,
Show me child items of this parent code,List Items,GET,/list/v4/lists/{listId}/items,Filter by parentId,,
How do I delete an unused list item?,List Items,DELETE,/list/v4/lists/{listId}/items/{itemId},Removes item if not in use,,
How do I start an expense data extract?,Extract & Analytics,POST,/api/expense/extract/v1.0/{DefinitionID}/job,Returns JobID,,
What's the status of my extract job?,Extract & Analytics,GET,/api/expense/extract/v1.0/job/{JobID}/status,Returns status (Queued/Processing/Complete),,
Can I download the extract file?,Extract & Analytics,GET,/api/expense/extract/v1.0/job/{JobID}/file,Returns CSV file,,
Show me available extract definitions,Extract & Analytics,GET,/api/expense/extract/v1.0/,Lists standard extracts,,
How do I extract Standard Accounting Extract?,Extract & Analytics,POST,/api/expense/extract/v1.0/SAE/job,Standard GL extract,,
How do I subscribe to expense report events?,Event Subscriptions,PUT,/events/v4/subscriptions/webhook,"Body: {webhook: {endpoint, filter, topic}}",,
Show me my active event subscriptions,Event Subscriptions,GET,/events/v4/subscriptions,Returns all subscriptions,,
Can I update my webhook endpoint?,Event Subscriptions,PUT,/events/v4/subscriptions/webhook/{id},Body: {endpoint: new URL},,
How do I unsubscribe from events?,Event Subscriptions,DELETE,/events/v4/subscriptions/webhook/{id},Removes subscription,,
What expense types are available for this user?,Configuration & Settings,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Returns configured expense types,,
Show me payment types for expense entry,Configuration & Settings,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/paymenttypes,Returns payment method options,,
What policies apply to this user?,Configuration & Settings,GET,/expenseconfig/v4/users/{userId}/groupconfigs,Returns group configuration,,
Can I see custom field configuration?,Configuration & Settings,GET,/expenseconfig/v4/users/{userId}/groupconfigs,Custom field definitions included,,
Show me expense form configuration,Configuration & Settings,GET,/expenseconfig/v4/users/{userId}/forms,Form layout and field visibility,,
What's the receipt threshold for this expense type?,Configuration & Settings,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,ReceiptRequired threshold in config,,
How do I retrieve tax invoice validation data?,Digital Tax Invoices,GET,/spend-documents/v4/receipts/{receiptId},Tax invoice details if applicable,,
Can I see VAT details on this receipt?,Digital Tax Invoices,GET,/spend-documents/v4/receipts/{receiptId},VAT breakdown in OCR data,,
Show me receipts with tax compliance issues,Digital Tax Invoices,GET,/spend-documents/v4/receipts,Filter for complianceStatus flags,,
How do I link a travel request to an expense report?,Cross-Module Integration,PUT,/api/v3.0/expense/reports/{id},Include travelRequestId in custom field or report,,
How can I mass update 100 user cost centers?,Administrative Tasks,POST,/profile/v4/Bulk/,100 PATCH operations updating SpendUser extension,,
How do I migrate users between expense groups?,Administrative Tasks,PATCH,/profile/v4/Users/{uuid},Update groupId in SpendUser extension,,
How do I retrieve all TMC bookings for reporting?,Travel Management,GET,/api/travel/trip/v1.1/trips,Filter by BookingSource=TMC,,
Can I see traveler preferences for booking?,Travel Management,GET,/api/travelprofile/v2.0/profile,"Returns seat, meal, room, loyalty preferences",,
How do I track unused airline tickets?,Travel Management,GET,/api/travelprofile/v2.0/profile,UnusedTickets section for reuse tracking,,
How do I manage travel arranger permissions?,Travel Management,PATCH,/profile/v4/Users/{uuid},Update TravelUser extension with arranger permissions,,
Can I track trip purpose for reporting?,Travel Management,GET,/api/travel/trip/v1.1/trips,Trip purpose in metadata,,
Show me custom field validation rules,Custom Fields & Extensions,GET,/expenseconfig/v4/users/{userId}/groupconfigs,"Field types, list associations, required flags",,
How do I create hierarchical custom lists?,Custom Fields & Extensions,POST,/list/v4/lists/{listId}/items,Use parentId to create hierarchy,,
Show me per diem expense creation,Special Scenarios,POST,/api/v3.0/expense/entries,"Body: expenseType=per diem, DailyRate, NumberOfDays",,
Show me hotel folio itemization,Special Scenarios,POST,/api/v3.0/expense/entries,Create parent hotel expense + itemizations for room/tax/fees,,
How does a hotel post a direct booking?,Partner & Supplier Integration,POST,/api/travel/booking/v1.1/,"Body: Hotel segment with confirmation, rate, dates",,
Show me e-receipt provider integration,Partner & Supplier Integration,POST,/receipts/v4/users/{userId},"Body: Receipt data matching schema (general, hotel, ground, air, car)",,
Can payment providers retrieve payment batches?,Partner & Supplier Integration,GET,/invoice/provider-payment/v4/payments,PaymentStatus=PENDING_RETRIEVAL,,
How does a TMC submit proposal options?,Partner & Supplier Integration,POST,/api/travel/trip/v1.1/,"Body: TripStatus=6 (Proposal), multiple booking options",,
Show me card issuer transaction posting,Partner & Supplier Integration,POST,/cards/v4/companies/{companyId}/transactions/bulk,Body: Array of card transactions with Level 2/3 data,,
How does a ground transport provider access pickup details?,Partner & Supplier Integration,GET,/api/v1.1/Itinerary/{tripId},Parse Air arrival or Hotel address for pickup location,,
Show me fixing PO receipt quantity errors,Edge Cases & Troubleshooting,PUT,/api/v3.0/invoice/purchaseorderreceipts,Body: Corrected ReceivedQuantity,,
Show me all expense reports waiting for my approval,Expense Reports,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,Filter by approvalStatus,,
What's the total amount of expenses I submitted this month?,Expense Reports,GET,/api/v3.0/expense/reports,"user=me&submitDateAfter={monthStart}, sum TotalClaimedAmount",,
Can I see reports that have been rejected?,Expense Reports,GET,/api/v3.0/expense/reports,approvalStatusCode=A_RESU,,
Show me expense reports created from mobile app,Expense Reports,GET,/api/v3.0/expense/reports,reportSource=MOBILE,,
Which reports have duplicate expenses flagged?,Expense Reports,GET,/api/v3.0/expense/reports,"hasException=Y, filter for duplicate expense exceptions",,
What's my highest expense report this year?,Expense Reports,GET,/api/v3.0/expense/reports,"user=me&submitDateAfter={yearStart}, sort by TotalApprovedAmount DESC",,
Show me reports with mileage expenses,Expense Reports,GET,/api/v3.0/expense/entries,expenseTypeCode=MILEG&user=me,,
Can I see reports pending finance approval?,Expense Reports,GET,/api/v3.0/expense/reports,approvalStatusCode=A_APPR&paymentStatusCode=P_NOTP,,
Which reports were auto-approved?,Expense Reports,GET,/api/v3.0/expense/reports,Check workflow history for auto-approval,,
Show me reports with international expenses,Expense Reports,GET,/api/v3.0/expense/reports,hasForeignCurrency=Y,,
What reports have comments from me as an approver?,Expense Reports,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,Check comment field,,
Can I see expense reports by date range?,Expense Reports,GET,/api/v3.0/expense/reports,submitDateAfter={startDate}&submitDateBefore={endDate},,
Show me reports with policy violations,Expense Reports,GET,/api/v3.0/expense/reports,hasException=Y,,
Which reports are in my queue for approval?,Expense Reports,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,approvalStatus=PENDING,,
What's the status of report I submitted yesterday?,Expense Reports,GET,/api/v3.0/expense/reports,user=me&submitDateAfter={yesterday},,
Show me all my restaurant expenses,Expense Entries,GET,/api/v3.0/expense/entries,expenseTypeCode=DINNR&user=me,,
What are my taxi expenses for last month?,Expense Entries,GET,/api/v3.0/expense/entries,expenseTypeCode=TAXI&transactionDateAfter={lastMonth}&user=me,,
Can I see expenses without business purpose?,Expense Entries,GET,/api/v3.0/expense/entries,businessPurpose IS NULL or empty,,
Show me expenses with missing cost center,Expense Entries,GET,/api/v3.0/expense/entries,Filter for missing allocation or cost center,,
Which expenses exceed policy limits?,Expense Entries,GET,/api/v3.0/expense/entries,"hasException=Y, filter for amount exceptions",,
What are all my fuel expenses?,Expense Entries,GET,/api/v3.0/expense/entries,expenseTypeCode=FUEL&user=me,,
Show me expenses with duplicate merchant names,Expense Entries,GET,/api/v3.0/expense/entries,"Group by VendorDescription, find duplicates",,
Can I see all my uber expenses?,Expense Entries,GET,/api/v3.0/expense/entries,VendorDescription contains 'Uber'&user=me,,
What expenses were paid with corporate card?,Expense Entries,GET,/api/v3.0/expense/entries,paymentTypeCode=CBCP&user=me,,
Show me expenses requiring manager justification,Expense Entries,GET,/api/v3.0/expense/entries,"hasException=Y, filter for justification required",,
Which expenses have attendees?,Expense Entries,GET,/api/v3.0/expense/entries,hasAttendees=Y,,
Can I see all meal expenses over $50?,Expense Entries,GET,/api/v3.0/expense/entries,expenseTypeCode=MEALS&approvedAmount>50,,
Show me expenses allocated to multiple cost objects,Expense Entries,GET,/api/v3.0/expense/entries,allocationCount>1,,
What are my internet and phone expenses?,Expense Entries,GET,/api/v3.0/expense/entries,"expenseTypeCode in (INTNT,PHONE)&user=me",,
Show me expenses with VAT,Expense Entries,GET,/api/v3.0/expense/entries,"hasTax=Y, filter for VAT",,
Create a quick expense for lunch,Quick Expense,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses,"Body: {expenseTypeId: LUNCH, transactionAmount, transactionDate}",,
Add a quick expense with receipt image,Quick Expense,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses/image,multipart/form-data with image and expense details,,
Create a parking expense quickly,Quick Expense,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses,"Body: {expenseTypeId: PARKN, transactionAmount, location, transactionDate}",,
Add a taxi expense on the go,Quick Expense,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses,"Body: {expenseTypeId: TAXI, transactionAmount, transactionDate}",,
Create a quick expense for coffee,Quick Expense,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses,"Body: {expenseTypeId: MEALS, transactionAmount, comment}",,
Submit my draft expense report,Workflows,PATCH,/expensereports/v4/users/{userId}/context/TRAVELER/reports/{reportId}/submit,Body: {comment: optional},,
Approve this expense report,Workflows,PATCH,/expensereports/v4/users/{userId}/context/MANAGER/reports/{reportId}/approve,"Body: {comment, expenseRejectedComment}",,
Recall my submitted report,Workflows,PATCH,/expensereports/v4/users/{userId}/context/TRAVELER/reports/{reportId}/recall,Body: {comment},,
Send back this report to employee,Workflows,PATCH,/expensereports/v4/users/{userId}/context/MANAGER/reports/{reportId}/sendBack,"Body: {comment, expenseRejectedComment}",,
Reject this expense report,Workflows,PATCH,/expensereports/v4/users/{userId}/context/MANAGER/reports/{reportId}/reject,Body: {comment},,
Show me all my travel requests,Travel Request,GET,/travelrequest/v4/requests,userId=me,,
What travel requests are pending approval?,Travel Request,GET,/travelrequest/v4/requests,approvalStatus=SUBMITTED,,
Can I see approved travel requests?,Travel Request,GET,/travelrequest/v4/requests,approvalStatus=APPROVED,,
Show me travel requests for next month,Travel Request,GET,/travelrequest/v4/requests,startDate>={nextMonth}&startDate<={nextMonthEnd},,
What's the total cost of my pending travel requests?,Travel Request,GET,/travelrequest/v4/requests,"approvalStatus=SUBMITTED, sum totalPostedAmount",,
Create a new travel request,Travel Request,POST,/travelrequest/v4/requests,"Body: {name, businessPurpose, startDate, endDate, expectedExpenses}",,
Update my travel request,Travel Request,PUT,/travelrequest/v4/requests/{requestId},Body: updated request details,,
Delete my draft travel request,Travel Request,DELETE,/travelrequest/v4/requests/{requestId},Request must be in DRAFT status,,
Get details of a specific travel request,Travel Request,GET,/travelrequest/v4/requests/{requestId},Returns complete request details,,
Show me travel requests by cost center,Travel Request,GET,/travelrequest/v4/requests,Filter by cost center custom field,,
Show me my upcoming trips,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,Filter for future departure dates,,
What trips do I have this month?,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,startDate>={monthStart}&endDate<={monthEnd},,
Can I see details of my next trip?,Travel Itinerary,GET,/api/v1.1/Itinerary/{tripId},Returns complete itinerary,,
Show me all my flight bookings,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,Parse air segments from trips,,
What hotel reservations do I have?,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,Parse hotel segments from trips,,
Can I see my travel itinerary for next week?,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,startDate>={nextWeek}&endDate<={nextWeekEnd},,
Show me trips with car rentals,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,Parse car rental segments,,
What's my travel schedule for Q4?,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,startDate>=Q4Start&endDate<=Q4End,,
Can I see cancelled trips?,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,tripStatus=CANCELLED,,
Show me trips to New York,Travel Itinerary,GET,/api/travel/trip/v1.1/trips,Filter by destination location,,
Get my travel profile,Travel Profile,GET,/api/v2/profile/,Returns complete travel profile,,
Show me my loyalty programs,Travel Profile,GET,/api/v2/profile/loyalty,Returns all loyalty program memberships,,
What are my TSA PreCheck details?,Travel Profile,GET,/api/v2/profile/,Check securityInformation,,
Can I see my passport information?,Travel Profile,GET,/api/v2/profile/,Check passports array,,
Show me my preferred airlines,Travel Profile,GET,/api/v2/profile/,Check airlineMemberships,,
What's my home airport?,Travel Profile,GET,/api/v2/profile/,Check homeAirport field,,
Update my travel preferences,Travel Profile,PUT,/api/v2/profile/,Body: updated profile data,,
Add a new loyalty program,Travel Profile,POST,/api/v2/profile/loyalty,Body: loyalty program details,,
Update my passport information,Travel Profile,PUT,/api/v2/profile/,Body: updated passport data,,
Show me my hotel preferences,Travel Profile,GET,/api/v2/profile/,Check hotelMemberships and preferences,,
Show me all pending invoices,Invoice,GET,/api/v3.0/invoice/invoices,paymentStatus=PENDING,,
What invoices are overdue?,Invoice,GET,/api/v3.0/invoice/invoices,dueDate<{today}&paymentStatus=NOTPAID,,
Can I see paid invoices from last month?,Invoice,GET,/api/v3.0/invoice/invoices,paymentStatus=PAID&paidDateAfter={lastMonth},,
Show me invoices by vendor,Invoice,GET,/api/v3.0/invoice/invoices,vendorCode={vendorCode},,
What's the total of unpaid invoices?,Invoice,GET,/api/v3.0/invoice/invoices,"paymentStatus=NOTPAID, sum invoiceAmount",,
Create a new invoice,Invoice,POST,/api/v3.0/invoice/invoices,Body: invoice details including line items,,
Update invoice payment status,Invoice,PUT,/api/v3.0/invoice/invoices/{invoiceId},"Body: {paymentStatus, paidDate}",,
Show me invoices pending approval,Invoice,GET,/api/v3.0/invoice/invoices,approvalStatus=PENDING,,
"What invoices exceed $10,000?",Invoice,GET,/api/v3.0/invoice/invoices,invoiceAmount>10000,,
Can I see invoices with tax details?,Invoice,GET,/api/v3.0/invoice/invoices,hasTax=Y,,
Show me all open purchase orders,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,status=OPEN,,
What purchase orders are over budget?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,totalAmount>budgetAmount,,
Can I see POs by vendor?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,vendorCode={vendorCode},,
Show me purchase orders awaiting goods receipt,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,status=PENDING_RECEIPT,,
What's the total value of my open POs?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,"status=OPEN, sum totalAmount",,
Create a new purchase order,Purchase Orders,POST,/api/v3.0/invoice/purchaseorders,Body: PO details with line items,,
Update purchase order status,Purchase Orders,PUT,/api/v3.0/invoice/purchaseorders/{poId},"Body: {status, receivedDate}",,
Show me POs created this quarter,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,createDateAfter={quarterStart},,
What purchase orders need approval?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,approvalStatus=PENDING,,
Can I see closed purchase orders?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,status=CLOSED,,
Show me all active vendors,Vendors,GET,/api/v3.0/invoice/vendors,status=ACTIVE,,
What vendors are pending approval?,Vendors,GET,/api/v3.0/invoice/vendors,status=PENDING,,
Can I search for a vendor by name?,Vendors,GET,/api/v3.0/invoice/vendors,vendorName contains {searchTerm},,
Show me vendors with payment terms,Vendors,GET,/api/v3.0/invoice/vendors,paymentTerms IS NOT NULL,,
What's the contact info for this vendor?,Vendors,GET,/api/v3.0/invoice/vendors/{vendorId},Returns vendor details,,
Create a new vendor,Vendors,POST,/api/v3.0/invoice/vendors,Body: vendor details,,
Update vendor information,Vendors,PUT,/api/v3.0/invoice/vendors/{vendorId},Body: updated vendor data,,
Show me vendors by country,Vendors,GET,/api/v3.0/invoice/vendors,country={countryCode},,
What vendors have banking information?,Vendors,GET,/api/v3.0/invoice/vendors,hasBankingInfo=Y,,
Can I see inactive vendors?,Vendors,GET,/api/v3.0/invoice/vendors,status=INACTIVE,,
Show me all expense lists,Lists,GET,/list/v4/lists,category=Expense,,
What items are in my project list?,Lists,GET,/list/v4/lists/{listId}/items,Returns all list items,,
Can I search for a list item?,Lists,GET,/list/v4/items,value contains {searchTerm},,
Show me all custom field lists,Lists,GET,/list/v4/lists,Filter by type,,
What's the details of a specific list?,Lists,GET,/list/v4/lists/{listId},Returns list details,,
Create a new list,Lists,POST,/list/v4/lists,Body: list details,,
Add an item to a list,Lists,POST,/list/v4/lists/{listId}/items,Body: item details,,
Update a list item,Lists,PUT,/list/v4/lists/{listId}/items/{itemId},Body: updated item data,,
Delete a list item,Lists,DELETE,/list/v4/lists/{listId}/items/{itemId},Soft delete item,,
Show me hierarchical list items,Lists,GET,/list/v4/lists/{listId}/items,Filter by parentCode,,
Get my user profile,Identity,GET,/identity/v4.1/Users/{userId},Returns complete user profile,,
Show me my email addresses,Identity,GET,/identity/v4.1/Users/{userId},Check emails array,,
What's my user ID?,Identity,GET,/identity/v4.1/Users,userName={emailAddress},,
Can I see my roles and permissions?,Identity,GET,/identity/v4.1/Users/{userId},Check roles array,,
Show me users in my organization,Identity,GET,/identity/v4.1/Users,companyId={companyId},,
Update my user profile,Identity,PATCH,/identity/v4.1/Users/{userId},Body: SCIM patch operations,,
Search for a user by email,Identity,GET,/identity/v4.1/Users,filter=emails.value eq {email},,
What's my manager's information?,Identity,GET,/identity/v4.1/Users/{userId},Check manager field,,
Show me users by department,Identity,GET,/identity/v4.1/Users,filter=department eq {dept},,
Can I see inactive users?,Identity,GET,/identity/v4.1/Users,filter=active eq false,,
Get a receipt image,Receipt Images,GET,/api/v4/spend-documents/receipts/{receiptId},Returns receipt metadata and image,,
Show me all receipts for a report,Receipt Images,GET,/expensereports/v4/reports/{reportId}/expenses,Check imageId for each expense,,
Upload a receipt image,Receipt Images,POST,/receipts,multipart/form-data with image,,
What receipts are unattached to expenses?,Receipt Images,GET,/api/v4/spend-documents/receipts,Filter for unmatched receipts,,
Can I see the OCR data from a receipt?,Receipt Images,GET,/api/v4/spend-documents/receipts/{receiptId},Check extracted fields,,
Delete a receipt image,Receipt Images,DELETE,/receipts/{receiptId},Remove receipt,,
Show me receipts uploaded from mobile,Receipt Images,GET,/api/v4/spend-documents/receipts,source=MOBILE,,
What receipts need manual review?,Receipt Images,GET,/api/v4/spend-documents/receipts,reviewStatus=PENDING,,
Can I update receipt metadata?,Receipt Images,PUT,/api/v4/spend-documents/receipts/{receiptId},Body: updated metadata,,
Show me receipts from last week,Receipt Images,GET,/api/v4/spend-documents/receipts,uploadDateAfter={lastWeek},,
Show me allocations for an expense,Allocations,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/allocations,Returns all allocations,,
What's the allocation split for this expense?,Allocations,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/allocations,Check percentage field,,
Can I add an allocation to an expense?,Allocations,POST,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/allocations,Body: allocation details,,
Update expense allocation,Allocations,PUT,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/allocations/{allocationId},Body: updated allocation,,
Delete an allocation,Allocations,DELETE,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/allocations/{allocationId},Remove allocation,,
Show me expenses allocated to a project,Allocations,GET,/api/v3.0/expense/entries,Filter by customField projectCode,,
What's the total allocated to cost center 1000?,Allocations,GET,/api/v3.0/expense/entries,"Filter by allocation costCenter, sum amounts",,
Can I see unallocated expenses?,Allocations,GET,/api/v3.0/expense/entries,allocationState=NOT_ALLOCATED,,
Show me fully allocated expenses,Allocations,GET,/api/v3.0/expense/entries,allocationState=FULLY_ALLOCATED,,
What expenses are partially allocated?,Allocations,GET,/api/v3.0/expense/entries,allocationState=PARTIALLY_ALLOCATED,,
Show me attendees for this expense,Attendees,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/attendees,Returns all attendees,,
Add attendees to a meal expense,Attendees,POST,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/attendees,Body: attendee details array,,
Update attendee information,Attendees,PUT,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/attendees/{attendeeId},Body: updated attendee data,,
Delete an attendee from expense,Attendees,DELETE,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/attendees/{attendeeId},Remove attendee,,
Show me all expenses with external attendees,Attendees,GET,/api/v3.0/expense/entries,"hasAttendees=Y, filter for external",,
What expenses have more than 5 attendees?,Attendees,GET,/api/v3.0/expense/entries,attendeeCount>5,,
Can I see my entertainment expenses with attendees?,Attendees,GET,/api/v3.0/expense/entries,expenseTypeCode=ENTRN&hasAttendees=Y,,
Show me attendees who are clients,Attendees,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/attendees,Filter by attendeeType=CLIENT,,
What's the per-person cost for this meal?,Attendees,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/attendees,Divide expense amount by attendee count,,
Can I see all meals with VIP attendees?,Attendees,GET,/api/v3.0/expense/entries,"expenseTypeCode=MEALS&hasAttendees=Y, filter for VIP",,
Show me my corporate card transactions,Corporate Cards,GET,/api/v4/cards/transactions,accountId={accountId},,
What unmatched card transactions do I have?,Corporate Cards,GET,/api/v4/cards/transactions,status=UNMATCHED,,
Can I see card transactions from last month?,Corporate Cards,GET,/api/v4/cards/transactions,transactionDateAfter={lastMonth},,
Show me pending card transactions,Corporate Cards,GET,/api/v4/cards/transactions,status=PENDING,,
What's my total card spending this month?,Corporate Cards,GET,/api/v4/cards/transactions,"transactionDateAfter={monthStart}, sum amount",,
Match a card transaction to an expense,Corporate Cards,POST,/api/v4/cards/transactions/{transactionId}/match,Body: {expenseId},,
Show me card transactions at a specific merchant,Corporate Cards,GET,/api/v4/cards/transactions,merchantName contains {searchTerm},,
What card transactions exceed $500?,Corporate Cards,GET,/api/v4/cards/transactions,amount>500,,
Can I see declined card transactions?,Corporate Cards,GET,/api/v4/cards/transactions,status=DECLINED,,
Show me all my card accounts,Corporate Cards,GET,/api/v4/cards/accounts,Returns all card accounts,,
What are my expense policies?,Policy,GET,/expenseconfig/v4/users/{userId}/policies,Returns all applicable policies,,
Show me expense types for my policy,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Returns allowed expense types,,
What payment types are available?,Policy,GET,/expenseconfig/v4/users/{userId}/paymenttypes,Returns payment types,,
Can I see my default expense policy?,Policy,GET,/expenseconfig/v4/users/{userId}/policies,Filter for isDefault=true,,
Show me policy limits for airfare,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Filter for expenseTypeCode=AIRFR,,
What's my daily meal allowance?,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Check MEALS expense type limits,,
Can I see receipt requirements by expense type?,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Check receiptRequired field,,
Show me which expenses require manager approval,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Check approvalRequired field,,
What's my mileage reimbursement rate?,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Check MILEG rate,,
Can I see all expense categories?,Policy,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,Filter for isCategory=true,,
Generate expense report summary,Reporting,GET,/api/v3.0/expense/reports,"user=ALL, aggregate by status and amount",,
What's my team's total expenses this quarter?,Reporting,GET,/api/v3.0/expense/reports,"user=ALL&submitDateAfter={quarterStart}, sum amounts",,
Show me expense trends by category,Reporting,GET,/api/v3.0/expense/entries,"Group by expenseTypeCode, aggregate amounts",,
What's the average report approval time?,Reporting,GET,/api/v3.0/expense/reports,Calculate difference between submitDate and approvedDate,,
Can I see compliance metrics?,Reporting,GET,/api/v3.0/expense/reports,Calculate exception rate and policy compliance,,
Show me top spending categories,Reporting,GET,/api/v3.0/expense/entries,"Group by expenseType, sort by sum DESC",,
What's my reimbursement forecast?,Reporting,GET,/api/v3.0/expense/reports,"approvalStatus=APPROVED, sum AmountDueEmployee",,
Can I see expense velocity by month?,Reporting,GET,/api/v3.0/expense/reports,"Group by month, count reports",,
Show me out-of-policy expense percentage,Reporting,GET,/api/v3.0/expense/reports,Calculate hasException rate,,
What's the average expense report value?,Reporting,GET,/api/v3.0/expense/reports,Calculate mean of TotalApprovedAmount,,
Show me users I'm delegated for,Delegation,GET,/api/v3.0/expense/reports,delegateLoginID=me,,
Can I act on behalf of my manager?,Delegation,GET,/expensereports/v4/users/{managerId}/context/TRAVELER/reports,Use as delegate,,
Show me delegation permissions,Delegation,GET,/identity/v4.1/Users/{userId},Check delegations array,,
Create an expense for someone else,Delegation,POST,/expensereports/v4/users/{userId}/context/TRAVELER/reports,Acting as delegate,,
Submit report as delegate,Delegation,PATCH,/expensereports/v4/users/{userId}/context/TRAVELER/reports/{reportId}/submit,Delegate submission,,
Show me all expense categories configured,Configuration,GET,/expenseconfig/v4/users/{userId}/policies/{policyId}/expensetypes,isCategory=true,,
What currencies are supported?,Configuration,GET,/api/v3.0/common/currencies,Returns supported currencies,,
Can I see exchange rates?,Configuration,GET,/api/v3.0/common/exchangerates,from={currency}&to={currency},,
Show me company locations,Configuration,GET,/api/v3.0/common/locations,Returns configured locations,,
What custom fields are configured?,Configuration,GET,/api/v3.0/expense/reports/schema,Returns custom field definitions,,
Can I see tax configurations?,Configuration,GET,/api/v3.0/common/taxconfigurations,Returns tax rules,,
Show me payment batch configurations,Configuration,GET,/api/v3.0/expense/paymentbatches,Returns batch settings,,
What approval workflows are configured?,Configuration,GET,/api/v3.0/expense/workflowsteps,Returns workflow definitions,,
Can I see audit rules?,Configuration,GET,/api/v3.0/expense/auditrules,Returns configured audit rules,,
Show me form field configurations,Configuration,GET,/api/v4.1/expense/FormFields,Returns form field definitions,,
Show me reports created on mobile,Mobile,GET,/api/v3.0/expense/reports,reportSource=MOBILE,,
What expenses were added via mobile app?,Mobile,GET,/api/v3.0/expense/entries,source=MOBILE,,
